timestamp,message,intent
2023-10-26 10:00:00,"I need to cancel my subscription please",Cancellation Request
2023-10-26 10:01:15,"what is the total cost of my last invoice?",Billing Inquiry
2023-10-26 10:02:30,"The login page is not working for me",Technical Support
2023-10-26 10:03:45,"Can you tell me more about your enterprise features?",Product Information
2023-10-26 10:04:00,"Thank you for the quick help, you guys are awesome!",Positive Feedback
2023-10-26 10:05:15,"I'm very unhappy with the recent changes.",Negative Feedback
2023-10-26 10:06:30,"My payment didn't go through, can you check?",Billing Inquiry
2023-10-26 10:07:45,"How do I stop getting these messages?",Cancellation Request
2023-10-26 10:08:00,"The app keeps crashing on my phone",Technical Support
2023-10-26 10:09:15,"I was charged twice this month!",Billing Inquiry
2023-10-26 10:10:30,"The new update is great!",Positive Feedback
2023-10-26 10:11:45,"I can't find the settings page",Technical Support
2023-10-26 10:12:00,"This is not what I expected, I'm very disappointed.",Negative Feedback
2023-10-26 10:13:15,"What's the price for the premium plan?",Product Information
2023-10-26 10:14:30,"Please end my account immediately.",Cancellation Request
2023-10-26 10:15:45,"The website is down",Technical Support
2023-10-26 10:16:00,"Why was my bill so high?",Billing Inquiry
2023-10-26 10:17:15,"I have a question about my invoice",Billing Inquiry
2023-10-26 10:18:30,"The password reset link is broken",Technical Support
2023-10-26 10:19:45,"Can I get a refund?",Billing Inquiry
